Sample_ID,tissue_source_site,patient_id,Cancer_Type,Sample_Type,SetID,X1433EPSILON,X4EBP1,X4EBP1_pS65,X4EBP1_pT37T46,X53BP1,ACC_pS79,ACC1,AKT,AKT_pS473,AKT_pT308,AMPKALPHA,AMPKALPHA_pT172,AR,ASNS,ATM,BAK,BAX,BCL2,BCLXL,BECLIN,BETACATENIN,BID,BIM,CJUN_pS73,CKIT,CMET_pY1235,CMYC,CRAF,CRAF_pS338,CASPASE7CLEAVEDD198,CAVEOLIN1,CD31,CD49B,CDK1,CHK1,CHK1_pS345,CHK2,CHK2_pT68,CIAP,CLAUDIN7,COLLAGENVI,CYCLINB1,CYCLIND1,CYCLINE1,DJ1,DVL3,ECADHERIN,EEF2,EEF2K,EGFR,EGFR_pY1068,EGFR_pY1173,EIF4E,ERALPHA,ERALPHA_pS118,ERK2,FIBRONECTIN,FOXO3A,GAB2,GATA3,GSK3ALPHABETA,GSK3ALPHABETA_pS21S9,HER2,HER2_pY1248,HER3,HER3_pY1289,HSP70,IGFBP2,INPP4B,IRS1,JNK_pT183Y185,JNK2,KU80,LCK,LKB1,MAPK_pT202Y204,MEK1,MEK1_pS217S221,MIG6,MRE11,MTOR,MTOR_pS2448,NCADHERIN,NFKBP65_pS536,NF2,NOTCH1,PCADHERIN,P27,P27_pT157,P38MAPK,P38_pT180Y182,P53,P70S6K1,P70S6K_pT389,P90RSK_pT359S363,PAI1,PAXILLIN,PCNA,PDK1_pS241,PEA15,PI3KP110ALPHA,PKCALPHA,PKCALPHA_pS657,PKCDELTA_pS664,PR,PRAS40_pT246,PTEN,RAD50,RAD51,RB_pS807S811,S6,S6_pS235S236,S6_pS240S244,SHC_pY317,SMAD1,SMAD3,SMAD4,SRC,SRC_pY416,SRC_pY527,STAT3_pY705,STAT5ALPHA,STATHMIN,SYK,TUBERIN,VEGFR2,XRCC1,YAP,YAP_pS127,YB1,YB1_pS102,X4EBP1_pT70,ARAF_pS299,ANNEXINVII,ARID1A,BRAF,BAD_pS112,BAP1C4,BRCA2,CD20,CYCLINE2,ETS1,EIF4G,FASN,FOXO3A_pS318S321,FOXM1,G6PD,GAPDH,GSK3_pS9,HEREGULIN,MYH11,MYOSINIIA_pS1943,NRAS,NDRG1_pT346,P21,P27_pT198,P90RSK,PDCD4,PDK1,PEA15_pS116,PI3KP85,PKCPANBETAII_pS660,PRDX1,RAB11,RAB25,RAPTOR,RBM15,RICTOR,RICTOR_pT1135,SCD1,SF2,TAZ,TIGAR,TRANSGLUTAMINASE,TFRC,TSC1,TUBERIN_pT1462,EPPK1,XBP1,ACETYLATUBULINLYS40,P62LCKLIGAND,X1433BETA,X1433ZETA,ACVRL1,DIRAS3,ANNEXIN1,PREX1,ADAR1,JAB1,CMET,CASPASE8,ERCC1,MSH2,MSH6,PARPCLEAVED,RB,SETD2,SMAC,SNAIL,BRD4,CDK1_pY15,ARAF,BRAF_pS445,BCL2A1,CABL,CASPASE3,CD26,CHK1_pS296,COG3,DUSP4,ERCC5,IGF1R_pY1135Y1136,IRF1,JAK2,P16INK4A,SHP2_pY542,PDL1
TCGA-X8-AAAR-01A-21-A41X-20,X8,AAAR,ESCA,Primary,91,0.06386,-0.83862,-0.64822,-0.47303,-1.4039,-0.96813,-0.70673,-1.3977,-0.85142,-0.73104,-0.42005,0.13718,-1.4728,0.18261,-0.20727,0.11552,-0.14832,-0.0094905,-0.37828,0.44761,-2.3898,0.13107,0.15782,-0.31155,0.80073,0.25045,0.20077,-0.040066,0.81764,0.57381,2.855,0.84872,0.072515,0.20065,-0.75194,-0.48776,-0.49972,1.2294,0.25468,-1.1053,0.37349,-1.0288,0.42874,-0.681,0.17293,-1.3442,-2.4414,-0.49606,-0.68095,-0.20271,-0.29075,0.52255,0.041741,-0.79926,-0.53042,-0.087709,-0.27228,0.23656,-0.87803,-0.89292,-0.18643,-0.1546,0.52529,0.28857,-0.56398,0.10363,-0.045506,-0.87087,0.5986,0.47202,0.015363,-0.11044,-0.12293,0.97347,0.5588,0.092095,0.055375,1.2121,0.25709,1.2598,-0.77825,-0.25246,0.85201,0.77927,-0.8434,0.33623,0.1438,0.57652,-0.11252,0.33404,0.91083,0.57413,-1.6764,0.90066,0.21917,0.75751,-1.2237,0.097056,-0.018132,0.16629,0.1461,0.21718,0.30006,-0.12671,0.23183,-0.17846,-1.0918,-0.20673,2.7927,-0.69489,-2.605,-1.3608,-1.7785,-0.055465,-0.25523,0.30876,0.029635,-0.14392,-0.48783,0.82681,0.42318,-0.99098,0.95434,-1.0947,-0.68565,-0.035952,-0.16067,-0.10531,0.39038,-0.050058,-0.048981,0.23565,-0.016231,0.35487,-0.20377,-0.79608,-0.25855,-0.92477,0.035493,0.71469,-0.30766,0.23685,-1.3457,-1.271,0.49198,0.48576,0.12597,-1.2723,-1.2627,0.22728,0.43703,-0.46769,0.49049,0.27433,-0.47526,0.28445,-0.77597,-0.012751,0.043931,-0.35528,0.4963,-0.84375,0.13343,-0.037513,-0.97605,-0.21679,-3.0685,1.5712,1.1163,-0.27688,-0.12118,0.20001,-0.13399,-0.17024,-0.92611,0.13977,0.27279,-2.7471,2.9595,-1.4994,-0.63504,0.71772,0.20639,0.457,-0.37125,0.44908,0.77602,-0.30689,0.20111,-0.154,0.30111,-1.1175,-0.24154,-1.2083,0.054344,-0.1757,0.67389,-0.54344,0.0037701,-0.95158,0.13721,0.26524,0.19139,0.36445,-0.082928,0.18794,-0.028582,0.50124,-0.56078,0.0016478,-0.76337,0.65884,0.073616,-0.43103,-0.2713,0.13642,0.75354
TCGA-VR-AA7B-01A-21-A41X-20,VR,AA7B,ESCA,Primary,91,0.068068,-0.79164,-0.21352,-0.31108,-2.0112,-0.66188,-0.21673,-0.16101,-0.62663,-0.68987,0.084194,0.064609,-1.7511,-0.089485,-1.1373,-0.72792,-0.83231,-0.12208,-0.42759,0.35032,-1.8265,-0.067801,-1.26,0.018894,0.70027,0.20494,-0.050306,-0.26821,0.45723,-0.59786,3.7146,0.21368,0.33378,1.2218,-0.71753,-0.44407,-0.84229,0.6854,-0.0046946,-1.1787,0.50169,-1.3224,0.37966,-0.70361,0.33909,-0.69027,-3.2561,-1.056,-1.9488,-0.24991,0.24167,0.4629,-0.085308,-1.5048,-0.71625,-0.021754,0.37133,0.43906,-1.0135,-0.88424,0.070694,0.14199,-0.311,0.095784,0.63841,0.41367,-0.89331,-0.28508,0.97529,0.41632,0.23712,0.25582,-1.442,0.19208,0.45388,1.8357,0.5225,1.4591,0.15273,0.9935,-0.47487,-0.0292,0.0385,-0.088298,-0.6271,0.2284,0.0048426,0.043394,0.077545,0.13364,0.63042,0.20852,-1.0333,0.27638,-0.29257,2.3374,-0.69328,-0.12506,0.019797,0.11645,0.35752,0.78293,0.78963,-0.012619,0.51723,-0.32102,-0.64366,1.1245,0.98149,-0.41227,-3.3293,-0.65845,-1.2159,0.01712,-0.10762,0.078644,0.24119,-0.11381,-0.4901,0.56954,1.2012,-0.75949,0.81765,-1.6685,-0.72518,0.42173,-0.67378,0.17575,0.81414,-0.13419,-0.20756,-0.098652,0.064669,0.481,-0.13529,-1.1199,-0.57817,-1.1441,0.88088,0.30146,-0.53353,-0.2794,-0.89508,-1.2603,0.86613,0.23099,0.22401,-0.64729,-0.074943,0.7045,0.552,-1.525,0.40218,-0.091368,0.2178,-0.090878,0.15094,-1.5411,0.041029,-0.085359,0.13136,-0.24913,-0.14154,-0.41429,1.3561,-0.12716,-3.1568,6.3238,1.0662,0.10346,0.15222,0.49285,-0.4473,1.4334,-1.0388,0.68898,-0.061236,1.049,1.9414,-0.90516,-0.77814,0.24846,0.12749,1.2597,0.49815,0.16108,-0.20289,0.18419,0.3618,0.35085,-0.04284,-0.95848,-0.31163,-1.2136,0.20289,0.16651,0.83437,-1.0523,0.17758,-1.6765,0.10655,0.2142,-0.18638,0.32546,0.3203,-0.09103,1.3456,0.2575,-0.75299,-0.22241,0.26008,0.63235,0.067591,-0.69932,-0.36632,1.085,0.37084
TCGA-IG-A8O2-01A-21-A41X-20,IG,A8O2,ESCA,Primary,91,0.095402,0.042938,-0.49969,-0.73078,-0.87327,-0.28684,0.14236,-0.43694,0.19706,-0.48551,-0.037841,0.72199,-1.0179,0.39531,0.22879,0.10359,-0.70402,-0.11825,-0.49537,0.35261,-0.61448,-0.29397,-0.14705,0.051494,0.080744,0.01279,-0.3906,-0.28226,-0.23214,0.37712,2.2511,0.37234,0.16992,0.57169,-0.32031,-0.38777,0.4085,0.30672,-0.14203,0.017412,-0.11732,0.1803,-0.083539,-0.13708,-0.17812,-0.057461,-0.54021,-0.90108,-0.34226,0.27701,0.36654,-0.046957,-0.25443,-1.2029,-0.64923,-0.32487,0.29919,0.57593,-1.115,-0.65145,-0.23313,-0.84171,0.0017023,-0.21935,-0.4129,-0.12741,-1.1442,0.12246,0.65369,0.1864,0.34146,-0.31883,-0.014832,0.17077,0.065651,0.60705,-0.15186,0.36722,0.099517,0.56056,-0.39271,-0.19685,-0.36775,0.011196,-0.76973,0.21793,0.27566,0.50952,-0.23433,0.034056,-0.29857,1.2403,-0.62555,0.6273,-0.055009,0.81959,-1.2134,-0.0013741,-0.11547,-0.39233,0.42706,0.20122,0.38555,-0.029613,0.30689,-0.19426,-0.17508,0.051081,1.1584,-0.54733,-0.75395,0.086478,-0.48772,0.24804,-0.075801,-0.20166,0.16137,0.096969,-0.16903,-0.57573,-0.17393,-0.56074,0.22202,-0.33883,-0.48937,-0.29114,-0.12074,-0.18014,-0.18381,-0.021609,-0.26953,-0.11121,-0.069598,0.32829,0.40191,-0.69092,-0.66729,0.22999,0.28143,0.12082,-0.48895,-0.23899,0.29856,0.13069,0.312,0.36756,1.5196,-1.6655,-0.83326,0.47487,0.25779,-0.26154,0.20956,0.11845,-0.70015,-0.0012988,0.18163,-0.74934,-0.081804,-0.53742,0.033938,-0.50688,0.51085,-0.41846,0.92217,-0.47276,-1.115,3.9054,0.45936,0.016696,0.28099,0.075904,-0.4397,-0.32136,-1.0479,0.36101,0.14774,0.25694,2.7362,0.8911,0.16482,0.17048,-0.055958,0.3607,0.30165,0.49336,0.16592,0.50245,0.38477,0.35043,0.20354,-0.62464,0.91736,-0.11295,0.33392,0.11018,1.5658,-0.30728,0.28328,-0.34236,0.098135,-0.18899,-0.16263,-0.18106,-0.16009,-0.0097818,-0.022976,-0.057982,-0.58264,0.10195,-0.62255,0.21288,-0.14938,-0.64331,-0.34817,0.071899,0.32252
TCGA-LN-A7HY-01A-21-A41X-20,LN,A7HY,ESCA,Primary,91,0.12449,-0.58695,-0.2973,-0.13044,-1.048,-0.45039,-0.21887,-0.64301,0.00096808,-0.32061,-0.16541,0.29745,-1.3175,0.91663,0.099738,-0.40924,-0.73935,0.14911,-0.29981,0.22927,-1.6241,0.17137,0.34442,-0.22422,0.69708,0.19171,0.0418,-0.10459,0.39299,0.19861,2.9083,0.59519,0.40036,0.44893,-0.54271,-0.42727,-0.45894,0.89082,0.18838,-0.37029,0.28257,-0.39333,0.48162,-0.52888,0.056306,-1.0402,-1.2271,-0.31617,-0.91421,0.0011634,0.37298,0.54945,0.17806,-0.98179,-0.66681,-0.45108,0.05449,0.25911,-0.90458,-0.73949,-0.20329,-0.094929,-0.16313,0.16388,-0.47109,0.14007,-0.024581,-0.6743,0.50722,0.48096,0.28768,-0.13962,-0.60527,0.5067,0.6368,0.66408,0.34741,1.0727,0.15114,1.2229,-0.54436,-0.27565,0.53336,0.71336,-0.75076,0.23236,0.30334,0.46871,-0.11573,0.12026,0.51939,0.56242,-1.0445,0.88226,0.24465,0.64169,-1.8171,-0.15934,-0.019107,-0.41444,0.17737,0.42867,0.63561,-0.10733,0.39901,-0.19678,-0.99163,-0.068083,3.0432,-0.51885,-2.6836,-1.2234,-1.5129,0.05273,-0.17567,-0.071799,0.12197,-0.14389,-0.31062,0.16491,0.70363,-0.70167,0.74324,-0.89979,-0.41852,-0.046936,-0.37789,-0.019104,0.60909,-0.27802,-0.087957,0.25393,0.034358,0.23152,0.018685,-0.6008,-0.40981,-0.73394,0.16535,0.43398,-0.35172,0.21568,-0.4677,-0.90732,0.6109,0.26876,0.042086,-1.8922,-0.52271,0.26141,0.23955,-1.7676,0.29519,0.32798,-0.24003,0.2597,-0.31195,-0.42436,-0.086815,-0.10588,0.065079,-0.36037,-0.098058,-0.2153,0.011194,-0.15607,-2.7325,4.0147,1.009,-0.3774,-0.063346,0.20717,-0.44883,0.2509,-1.7127,0.39052,0.15716,-0.56539,2.1226,-0.68469,-0.76264,0.41389,-0.083873,0.70661,0.46061,0.23457,0.35413,0.013951,0.24984,0.01614,0.12578,-0.83009,0.011689,-0.93571,0.13258,0.2509,0.7377,-1.1302,-0.087146,-0.76036,0.32249,0.097735,0.2902,0.44649,0.031638,0.0086435,-0.083944,0.306,-0.24222,-0.11547,-0.55527,0.48327,-0.018068,-0.53681,-0.79247,-0.0049825,0.6044
TCGA-LN-A7HZ-01A-21-A41X-20,LN,A7HZ,ESCA,Primary,91,0.2735,0.2019,-0.3913,-0.47906,-0.52459,-0.36359,0.012063,-0.050405,-0.00090475,-0.60262,-0.18268,0.18948,-1.1241,0.48017,0.65099,0.1905,-0.42365,-0.36085,-0.47763,0.11183,-0.99434,-0.29156,-0.052461,-0.017431,0.33579,0.084197,-0.29261,-0.16076,0.22355,1.9521,1.3642,0.28577,-0.036821,0.11535,-0.32203,-0.42171,-0.41849,0.57554,-0.11053,-1.3201,-0.41807,0.27364,0.15456,-0.30622,-0.38603,-0.14135,-1.1386,-0.46082,-0.053928,0.10694,0.12318,-0.02596,-0.39322,-1.3174,-0.48878,-0.49188,0.83947,0.26484,-0.39369,-0.61329,-0.1824,-0.75969,-0.58517,-0.054514,-0.47566,-0.014508,-0.29768,-0.6178,0.039585,0.48427,-0.0050013,-0.29721,-0.19202,0.33001,0.26685,0.1304,-0.54035,0.50872,-0.018624,0.69023,-0.41496,-0.36127,0.083317,0.33209,-0.75883,0.29495,0.2145,0.11395,-0.15005,-0.043457,-0.82968,0.5255,-0.24729,0.71438,0.039093,0.52657,-0.6368,0.11378,-0.077629,-0.13854,0.45578,0.26743,0.50561,-0.11255,0.22319,-0.15562,-0.22279,-0.40993,2.0322,-0.6117,0.12031,0.47396,-0.34541,-0.015705,-0.14552,-0.07327,0.09619,0.24637,-0.92801,-0.87415,-0.1173,-0.088819,0.3777,0.017746,0.10624,-0.23448,-0.17185,-0.21177,-0.44233,-0.26358,-0.014293,0.11725,-0.12722,0.15164,0.11212,-0.46145,-0.45633,-0.13083,0.030906,0.0444,-0.035368,-0.22179,0.37832,-0.4456,0.16165,0.53635,1.0102,-1.6932,-0.91352,0.51252,-0.078507,-0.88162,0.21391,1.4953,-0.86987,0.094374,-0.26836,-0.7958,-0.027371,-0.60239,0.11595,-0.69526,0.25174,-0.39183,-0.21606,-0.24232,-0.8239,0.9331,0.45039,0.16397,0.050307,0.15953,-0.28619,0.017211,-0.46606,0.23197,-0.12203,-0.28194,1.0003,-0.43985,0.26438,0.31573,-0.25469,0.30046,0.15771,0.096364,0.26665,0.67285,0.33897,-0.1495,-0.17117,-0.52343,0.56731,-0.24166,0.055738,0.048418,0.46863,-1.1667,0.11321,-0.38549,0.17816,0.28096,-0.22727,0.091691,0.022157,0.016775,-0.29027,0.30326,-0.086615,-0.018065,-0.7767,0.30507,0.093748,-0.12756,-0.2624,-0.048514,0.93156
TCGA-L5-A891-01A-21-A41X-20,L5,A891,ESCA,Primary,91,0.35564,0.74132,-0.2965,0.0094581,-1.7184,-0.95755,-0.34666,-3.3629,-1.2077,-0.97745,-0.43253,-0.97294,-1.4185,1.874,-2.886,-0.22453,-0.43309,-0.25135,-0.011575,-0.10064,-1.9396,0.14819,-0.47586,0.05353,0.22345,0.3837,0.059579,-0.33318,0.99838,0.51836,1.2303,0.89459,1.5591,0.39945,-0.48584,-0.4653,-0.55817,1.381,0.16387,1.0037,0.48102,-0.57334,-0.082239,0.46867,0.44134,-1.1489,-1.9914,-1.3272,-1.5732,-0.17095,0.49769,0.557,0.28435,-1.1072,-0.37427,-0.36696,1.2772,0.26842,-1.1141,-0.52071,-0.37636,-0.91973,-1.4707,0.15073,0.94873,0.32436,-0.45004,0.24906,0.27043,0.60974,0.53879,-0.63076,-1.0431,0.7559,0.71876,0.49084,0.33908,1.3223,0.38866,1.293,-1.4467,-0.58673,0.45745,0.38599,-0.14105,0.32969,0.22725,-0.012788,-0.08172,0.37857,0.85717,0.37402,-2.4154,0.771,0.16198,3.2099,-3.1166,0.23735,-1.4686,-0.79299,-0.27545,-0.45186,-0.54435,-0.19822,0.69602,-0.26932,-0.39133,-0.44447,2.1699,-0.79371,-2.6746,-1.2029,-2.1042,0.020747,-0.61212,0.39797,0.5198,0.079903,0.44959,-0.027368,-0.15952,-2.1041,1.1556,0.32311,-1.947,-0.36201,-0.24454,0.073632,-0.73571,-1.0176,-0.0042013,0.28982,-0.077156,0.75415,-0.34643,-2.7671,-0.93487,-1.0225,0.03167,-0.23822,-0.42171,0.01068,-1.7506,0.15868,0.28596,0.59016,0.50347,-1.2907,-1.121,1.3918,-0.71352,-0.10801,0.44058,-0.097082,-0.98829,0.033598,-0.75612,-1.4447,-0.27506,-0.69339,0.035625,-2.138,0.43765,-0.097099,0.8341,-0.44139,-2.8715,-1.1377,0.97066,-0.25659,-1.2795,0.30214,1.5822,-0.29301,0.30626,-0.35081,-0.17637,-1.6578,0.19465,-1.7335,-1.377,0.73785,0.18585,0.62724,0.55016,0.52013,0.33669,1.0541,0.49196,-0.41494,-0.24353,-0.67316,0.028798,-1.4286,0.19156,0.16001,0.83419,0.17862,0.079386,-1.515,0.28258,-0.084085,-0.76937,0.60253,0.082471,0.93705,0.33108,0.59719,-1.6848,0.57862,-1.3347,0.65019,-0.0040219,-1.0357,1.5976,0.40436,0.94954
TCGA-L5-A88W-01A-21-A41X-20,L5,A88W,ESCA,Primary,91,0.22623,0.7135,0.091307,0.48716,-0.81309,0.4176,0.71193,-0.55122,-0.080416,-0.4148,-0.44285,-0.26295,-1.5809,1.5127,-0.71129,-0.67259,-0.51863,-0.49008,-0.60584,-0.056709,-0.017085,-0.55027,-0.73655,0.23256,-0.34615,-0.083566,-0.43614,-0.17098,0.24004,-0.63559,1.2402,-0.054717,0.5948,0.18805,-0.29273,0.045725,-0.18154,0.30128,0.45351,-1.0104,-0.37651,0.72969,-0.14445,0.085718,-0.23016,0.35169,0.32537,-0.11147,0.46409,1.3475,2.0357,0.013093,0.40154,-1.667,-0.78407,-0.50568,-0.20783,0.26511,-0.77728,-0.82121,-0.042275,0.77559,-0.45095,0.52271,-0.42495,0.48637,-1.2061,0.16044,0.014099,0.53062,0.27088,-0.40259,-0.25318,-0.14514,-0.016194,0.4136,0.2991,0.90097,0.014437,0.23265,-0.39607,-0.021182,-0.61798,0.99991,-0.76014,0.98539,0.10973,-0.34416,-0.25307,0.37443,1.9308,-0.013978,-0.0089354,0.30021,0.41791,0.8991,0.53823,0.21822,0.37259,-0.49066,0.29963,0.14731,-0.076989,-0.16675,0.13723,0.31277,0.41809,-0.48945,0.70775,0.71794,-0.076018,1.2676,-0.02594,0.77599,-0.19606,-0.4284,0.049664,0.28693,3.4799,0.75884,0.22259,-0.87308,0.094437,0.17416,-0.004597,1.0474,-0.40009,0.23762,0.6333,-0.49756,1.1652,0.25842,-0.051996,0.21654,0.18233,-0.1848,0.14747,-0.34257,-0.022716,-0.48518,-0.6176,-0.90365,0.66536,0.04479,0.24117,0.043824,0.083798,-1.2477,0.69334,0.86166,-1.4961,0.79575,0.15526,3.7386,-0.17774,-0.32626,0.31164,0.84339,0.28825,-0.85571,-0.13992,0.4022,-0.097716,-0.35073,0.22447,-0.5129,-1.0867,-0.71405,0.11339,-0.13497,0.018269,-0.057087,0.1293,-0.16763,-0.46151,0.061078,0.00081613,3.9359,0.16953,-1.0137,0.92712,0.048484,-0.21343,0.063619,-0.043854,3.2498,-0.21946,-0.23076,0.30118,0.010174,0.19955,-0.53111,0.42334,-0.61688,0.084895,0.019477,0.080341,-0.94304,-0.0077174,-0.74425,0.29275,0.26773,0.19988,0.20977,-0.052615,-0.070002,-0.26678,0.093091,-0.14393,0.025579,-0.3453,0.17488,0.15148,-0.65454,1.1325,0.87804,0.34808
TCGA-Z6-A9VB-01A-11-A41X-20,Z6,A9VB,ESCA,Primary,91,0.16146,0.70671,-0.30366,0.16711,-0.71555,-0.059903,0.30813,-0.72139,-1.0162,-0.97433,-0.36183,0.25406,-1.6555,0.91416,-0.84575,0.65452,-0.45516,0.01502,-0.32373,0.078307,-0.78491,-0.55139,0.91487,-0.091011,0.034102,-0.0071237,-0.35626,-0.34484,0.01852,0.19839,0.70925,0.34955,0.4185,0.37076,-0.34406,-0.3258,0.50006,0.36058,-0.14578,0.65253,-0.21639,0.69638,-0.09039,-0.08427,-0.26194,-0.082159,-0.1976,-0.37163,-0.35176,0.2648,0.62691,-0.27379,-0.01034,-1.1903,-0.80184,-0.39168,1.124,0.57752,-0.70517,-0.59816,-0.0060169,-0.67777,-0.7466,-0.19459,-0.43454,-0.22057,-0.27892,0.063886,0.43943,0.27307,0.44955,-0.43268,-0.39594,0.26488,0.20771,0.16507,0.5027,0.49774,0.054891,0.51109,-0.47361,-0.24785,-0.31203,0.44632,-0.71124,0.2457,0.31723,0.13057,-0.33005,-0.18088,0.12735,0.98952,-0.69467,0.52573,-0.028066,0.54881,-1.5634,0.48426,-0.015534,-0.42043,0.91279,0.83198,0.27383,-0.038585,0.26937,-0.26564,-0.029878,-0.59568,1.6509,0.12283,-0.89869,-0.64427,-1.043,0.32795,-0.035564,-0.069384,0.19181,0.19518,0.22769,-0.48186,0.2028,-1.122,0.28769,-0.031599,-0.088748,-0.51311,-0.15583,-0.19684,-0.96218,-0.41425,-0.15418,0.14272,-0.040679,0.14877,0.11346,-1.222,-0.54742,-0.14374,0.13009,0.10559,-0.39459,-0.44564,0.20223,-0.01138,0.25111,0.63819,1.5957,-0.89487,-0.68325,0.45996,-0.22624,-0.059922,0.11685,1.0709,-0.63498,-0.16837,-0.076133,-0.7763,0.0034345,-0.83902,0.054204,-0.94673,0.8805,-0.31875,0.85789,-0.34034,-1.3344,0.65057,0.27132,0.089,0.20126,0.061814,-0.22605,-0.49874,-0.33394,0.034546,-0.11072,2.7245,0.70422,-1.2251,0.034455,0.19178,-0.34706,0.26907,0.12189,2.7738,0.036233,0.60713,0.53725,0.25413,0.032596,-0.55441,1.2181,0.037364,0.53566,0.16396,1.6065,-0.82591,0.34911,-0.40269,0.22262,0.32665,-0.0073989,-0.010108,-0.10692,0.29831,-0.28586,-0.033435,-0.50156,0.085593,-0.95209,0.21271,-0.17375,-0.71365,-0.37983,0.18231,0.35854
TCGA-LN-A5U5-01A-11-A41X-20,LN,A5U5,ESCA,Primary,91,0.14952,-0.097325,-0.086308,0.09415,-0.93825,0.19713,0.48192,-0.72433,-0.72221,-0.99701,-0.299,0.026373,-1.4633,0.59774,-0.048976,-0.5432,-0.48406,-0.33692,-0.42227,0.060542,-0.27288,-0.2501,-0.18906,0.035358,0.28577,0.11988,-0.068329,-0.14652,0.30629,1.3238,0.86522,0.35751,0.10472,0.09,-0.4921,-0.21779,-0.1788,0.56907,0.1672,0.7303,-0.18426,0.41486,0.019616,-0.61172,-0.32774,-0.70773,0.40109,-0.33251,-0.56283,0.40766,1.0329,0.060944,0.15791,-1.3498,-0.75894,-0.49925,-0.60857,0.20712,-0.41674,-0.87799,-0.29238,-0.11699,0.030579,0.52127,0.31968,-0.0071297,-0.34951,0.26091,0.088565,0.25484,0.21903,-0.23184,-0.17932,0.55941,0.14228,1.0029,0.25167,0.60331,0.0091305,0.70124,-0.43322,-0.25342,-0.088922,0.56625,-0.76677,0.29573,0.087758,0.22168,-0.1309,0.24785,0.79573,0.027778,-0.3899,0.68243,0.21657,0.0025003,-0.93162,0.07007,0.088517,-0.45742,0.29999,0.92236,0.06174,-0.066575,0.13601,-0.034401,-0.18071,-0.40387,1.7833,0.063091,-1.8876,-0.36735,-1.014,0.31159,-0.25155,-0.38993,-0.026043,0.17054,1.6776,0.45785,0.72555,-0.4629,0.4533,-0.13634,-0.21026,-0.20135,-0.28818,-0.02554,0.49115,-0.47814,0.26161,0.21278,-0.14567,0.13551,0.18213,-0.36083,-0.062598,-0.33064,-0.35031,-0.18061,-0.37805,-0.24667,0.35337,0.076451,0.21399,0.54697,0.41684,-1.2941,-0.43661,0.11877,-0.12946,0.38708,0.24883,3.1184,-0.37975,-0.019348,0.036909,0.99196,0.092458,-0.75163,0.018037,-0.18823,0.074368,-0.21036,0.93691,-0.5073,-1.8082,1.1172,0.45932,-0.30775,-0.11411,0.070795,-0.30841,-0.13635,-0.54185,-0.059184,-0.21477,0.95955,1.0313,-1.0309,0.74639,0.054583,-0.32241,0.28754,0.15417,3.442,0.51715,0.23253,0.16886,-0.071398,0.024556,-0.72073,0.31163,-0.68257,0.10234,0.15174,0.3586,-0.81889,0.002418,-0.44752,0.19824,0.15386,0.17082,0.1331,-0.090905,-0.033902,-0.27598,0.21838,-0.36651,0.026662,-0.54057,0.27995,0.089287,-0.40868,-0.20408,0.50207,0.53719
TCGA-LN-A5U6-01A-21-A41X-20,LN,A5U6,ESCA,Primary,91,-0.034006,0.04446,-0.23647,-1.3817,-0.52424,-0.96353,-0.78023,-0.31988,-1.2131,-1.0067,-0.42392,0.33627,-1.3794,0.24182,-0.66714,1.1619,-0.31133,-0.58219,-0.61767,0.069912,-0.29474,-0.18095,-0.22777,-0.26835,-0.046258,0.07492,-0.15397,-0.055949,0.22679,-0.11483,1.9696,0.081143,0.41548,0.14228,-0.4966,-0.27671,0.062728,0.79534,-0.050759,-0.32139,-0.4425,0.8256,-0.094929,-0.81756,-0.17226,0.97368,-0.0051195,-0.19594,0.72818,1.0244,0.448,0.29098,-0.097099,-1.3808,-0.46352,0.124,1.5733,0.20674,-0.59058,-0.82834,-0.29285,-0.90049,-0.60709,-0.020966,-0.46737,0.34569,-0.59954,0.77415,-0.099442,0.73405,-0.075761,-0.004747,0.28817,-0.036003,0.11898,-0.0024279,0.69055,0.72463,0.22869,0.67348,-0.21663,-0.5031,0.076057,0.44747,-0.79214,0.19934,-0.0096433,-0.11357,-0.11418,-0.42412,-0.89312,0.35255,-0.017022,0.3482,-0.023404,2.6969,0.3463,0.72659,0.44988,0.12682,0.47606,0.32676,0.23072,-0.17069,-0.045842,-0.12804,0.14773,-0.89866,1.7786,-0.85082,0.11324,0.0066174,-0.95126,0.26158,-0.22303,-0.10728,-0.04691,0.098619,-1.0303,-1.3507,-0.46603,-0.62529,0.46545,0.22897,0.2858,0.74604,-0.5547,-0.13577,-0.34451,0.10644,0.24389,0.096251,-0.06254,0.26105,0.094615,-0.089244,-0.070982,-0.10432,-0.35058,-0.14663,-0.16343,-0.85391,0.84151,-0.35722,0.12633,0.64354,-0.1414,-0.30793,-1.1622,0.23625,-1.1736,0.27649,0.29071,2.9301,-1.0068,0.12306,0.1421,-1.1029,0.37368,-0.64037,0.022667,-0.54649,0.31056,-0.22547,0.50591,-0.19812,-0.64265,0.164,0.66986,-0.18962,-0.0523,0.47981,-0.26349,-0.36093,0.22381,0.55945,-0.38525,2.9897,0.49281,0.097736,0.48493,0.086411,0.55108,0.29432,-0.53932,0.65232,-0.6356,0.37886,0.21441,-0.15245,-0.12459,-0.71503,0.13108,-0.12952,0.0020576,-0.2539,0.31478,-0.61298,0.018484,0.041596,-0.052664,0.26057,-0.12873,0.29281,-0.11864,0.17716,0.098848,0.19163,0.0090923,-0.21253,-0.61834,0.43784,0.52809,-0.37609,0.22238,0.187,0.57998
